project,case,file,experiment,run3,official_rep1,experiment_equals_run3,experiment_equals_official_rep1,experiment_semantically_equals_official_rep1
jdom2,XPathHelper_getSingleStep,condition4case_prompt.md,b2d02ace328579ed8fa8bc2df47b5d7ca369f244fef85a28462f37fd8df7c8f4,b2d02ace328579ed8fa8bc2df47b5d7ca369f244fef85a28462f37fd8df7c8f4,f14c151368d9ebaad7a11a4147917c4edb63fc179be68c956ecb295e17034bc3,True,False,True
jdom2,XPathHelper_getSingleStep,exception4case_prompt.md,630e4930fbe42aa3a133a62770c4fd8f5f0b8bca3eb092e69d2dcc67c296eb35,630e4930fbe42aa3a133a62770c4fd8f5f0b8bca3eb092e69d2dcc67c296eb35,9ff4d047c22f48006a5f0d42e710e59186d39c4dcb1379c6dc1acb07914ec6d8,True,False,True
jdom2,XPathHelper_getSingleStep,gencode_prompt.md,c472120255ccbd16dc9b121656281fc52a9e76ddc0c4fb7dbe06773549801b8b,47a68a2fb731b1e7b63d5671164f74038199858e52806b97ece1455a6429834c,b47f5c904c4de6f31f7bf25787a8ee983a13c1b024a07ec47c0f6a77f13d773c,False,False,False
jdom2,XPathHelper_getSingleStep,init_context.json,51d06c476f540f94df20ee50b67987c6fd1db877f4792ff5aab01b0a2686f515,51d06c476f540f94df20ee50b67987c6fd1db877f4792ff5aab01b0a2686f515,1584700378a0b77affe738766d823248d6c8622ca6ce2651f89c6ae42840b59d,True,False,True
jdom2,XPathHelper_getSingleStep,init_prompt.md,7d4030fe1aacee88e9d9dbf7e2074cb745ca0c51b8f93aa908eb97c5a4edd13c,7d4030fe1aacee88e9d9dbf7e2074cb745ca0c51b8f93aa908eb97c5a4edd13c,c7f4e8c6a90fd18840cab0bdf70552792039db130e3c509cdcfbf64fc33ad520,True,False,False
jdom2,XPathHelper_getSingleStep,io4case_prompt.md,efbb72c81efbd18e48e848bbf61da0f48c207553d59211968f4541e810465aab,efbb72c81efbd18e48e848bbf61da0f48c207553d59211968f4541e810465aab,b04c64f383b0775e6cafb9914b87f712d81267639e50f5622732a6a77540164b,True,False,True
jdom2,XPathHelper_getSingleStep,usage_context.json,06e2c83f6d9c812c23e11614e56d96f26a76444235985a3df2272ecab77fc8df,98c121c2cca9ab6103024ffbab609ac6b69a8a6881bd083e1ea3595bc7b086a7,afc6551a8e0a1c6e6316f645be238f6ec7e181dce3ef251ec811d6ee929da0b3,False,False,False
jdom2,WalkerNORMALIZE_analyzeMultiText,condition4case_prompt.md,bfda55681811087debe7e91cf276c53f75f583a6e17d0ccf46e6eb3e902680e6,bfda55681811087debe7e91cf276c53f75f583a6e17d0ccf46e6eb3e902680e6,7a2975ba9f145e5fbc6616b887627a3d8065588c14e2bca99378f1eb7d5b5d73,True,False,True
jdom2,WalkerNORMALIZE_analyzeMultiText,exception4case_prompt.md,9dcef8780d5eef79d16ce22f9a3c80328fb8aa5ccb4ebd1022e6aebaf6670e2c,9dcef8780d5eef79d16ce22f9a3c80328fb8aa5ccb4ebd1022e6aebaf6670e2c,613e0e80e70ff003c5cf47a0fa2d5bc18813cb2d903cca87303780545ed84d66,True,False,True
jdom2,WalkerNORMALIZE_analyzeMultiText,gencode_prompt.md,5a19988d51668192df23670f954bf463103135843516c28f15c25161c06b1eb3,4046e414be6df14d8314892e25a531fcd971dd54fb678694691706d4771f9803,46104aa68f931a030f045449185e7313a958e747846d5dd00c54fd443b7f08fe,False,False,False
